NO	TICKER	WEBSITE	TWITTER	SPO Group in adapools.org?	POOL ID
94	SRP	https://twitter.com/smilerosepool	@smilerosepool	yes	7f8096e50577c2b2926b47b547d84ceff5dbff45d486ac754ff6a3cb
95	ST3AK	https://steakandbake.github.io/ada	@steakandbaker	yes	f76e3a1104a9d816a67d5826a155c9e2979a839d0d944346d47e33ab
96	STAYK 	https://www.staykpool.com/	@staykpool	yes	fd6049e6058460efa683a0e090e5b98d0ea1d6db539a5a9b0bc649de
97	STKME	https://stakepool.me/	@stkme2	yes	551ac8adfb28d1d417f848ce663e85627ff7d0b62746c7e327b13ed8
98	STOIC	https://stoicpool.com/	@stoicpool	yes	099d512b6ffedd552ae38a9ae2123c116b1d20e1f01bb42a1f539fba
99	TECH	https://twitter.com/CardanoTech	@cardanotech	yes	a60950c7a6e3f7a8247b34035d0a98cb0d11f2d04ba5fa9fd17e1065
100	THOR	https://thevikingpool.com/	@vikings_for_ada	yes	40d04c1367c25e6da2521f906f71bbb07858dc1d2209025364369173
101	TODAY	https://www.staketoday.io/	@staketoday_io	yes	b20e9049d0e4e0478ecfa0665ae92270f1b7b6056dd7ff81c2660ea5
102	TOOLS	https://adapools.org/		no	6ab1fd13a4e182f731ecf356ce3e145311f43cd512be2579ba3572e9
103	TOPO 	https://topopool.com/	@topo_pool	yes	9dda57fac3474adbe8b64be48aafeff6aa31f59909231f202b642d33
104	TREE	https://adatree.io/	@adatreepool	yes	b2d1c479ce496d5be21cb68e95dae7342937c631488c47161d408f39
105	TTS17	https://tts17.com/	@tts1710	yes	5790d62ab1ba703e861fe800f9cefaaf1485c3ca42c6ba9ce74690a1
106	VADA	https://vadapool.com/	@vadapool	yes	bf6a228a7928bd7cd6204bd626142d01f0d96a2648e4782abae1cbfb
107	VLNS	https://valencepool.info/	@valancepool	yes	45db53a3789c6d03a447741cd526fbed788380077efc880521ba9dd9
108	VNP	https://vnpool.org/	@vnpool_org	yes	9a60391a0872cb6d0a013e51aab80aa08b85201b01b4804f8880c7d1
109	WAAC	https://weareadacardano.com/	@weareadacardano	yes	c37dc293331bd9615cb697a77b9147265472ef97c3513b9182f0e22f
110	WEQNT	https://weqntstakepool.nl/	@weqnt	yes	a24a0b7f7dec890db8c59c47646290522234a522a98f00cf2d589a80
111	WINE 	https://winepool.io/	@pool_wine	yes	76992ac7c605ff6ec397c296d7964dd3139dd32f8cef70cfc4019361
112	XSEC	https://ada.xsec.es/	@xsecp	yes	ac4c79de638c8bb08997e939dccde43fe347a392d11a7ddf77bf3816
113	XYZ	https://cardanopool.xyz/	@cardanopoolxyz	yes	3dec052cf085697aa6c32a934527f7c5761165a6a6f02a9af30c9ed1
114	YIELD				retired
115	YOADA	https://www.yoada.fr/	@yoadastakepool	yes	96553a437b99271fdcaa30c279e432224342e88147741db73872f03c
116	YORK 	https://free-york.com/		yes	9aa5e16dda2a131764018bbb9546a18fc9695a152e0f5dff2046e7b4
117	HEART	https://adaheartpool.com/	@adaheartpool	yes	f8b811d63ef2ac9e19eff41ab7a99f37b82da701f8ddb34d6d12cdb7
118	OZZY	http://ozzy-pool.com/	@ozzy_pool	yes	0e3f803915a37af7b6a121409192363e9de658524276c20c26f511ee
119	A3C	https://www.a3cmodernconsulting.com/	@shawna3c	yes	159bd971439653da2b97d12facae06ff5e6d7410d074edaab425202b
120	CCP	https://cryptocolony.cz/	@cryptocolonycz	yes	6381c4d5cbaea9fbdb2bc1152f49c1153fafbf19d77c547624ab91e4
121	ATFF	https://www.atffpool.at/	@atffpool	yes	fdb8e1e7f181f23d31f09bb4547370ef104688b37b3e7f4fdb222f4f
122	SBLYR	https://pool.sublayer.io/	@sublayerio	yes	8264de3cdb1798dd8758e24cda5101184b44543e7c4421c7815f9ed8
123	NEO	https://www.neostakepool.nl/	@neo_stakepool	yes	4d000df9ea28a76e0be7ac0a090ea3c2c75d8d309fe7fa11988402dd
124	AMINT	https://cardanomint.com/	@cardanomint	yes	ba67e271c925f7b066a00f4c9cbb9f27b13cef1ab02cca4c245c8acc
125	STPZ1	https://www.facebook.com/STPZpool/	@stefanosu1	yes	f218d7c550fecc856bdf09c6ec12d64f68a59b6727f29bedb06d88b1
